los_score,distance_to_rail_m,geometry,hash,number,street,unit,city,district,region,postcode,id
1,51.407016341134906,POINT (-87.63273949999999 41.70798200000001),8fd901e325c94ac5,10228,S PRINCETON AVE,,,,,,
1,29.19242318041082,POINT (-87.6329314 41.707696500000004),29f155cfefc572bd,350,W 103RD ST,,,,,,
1,88.84374449646712,POINT (-87.6245696 41.715536099999994),1539714ab54f6598,9833,S LAFAYETTE AVE,,,,,,
1,51.26563195149394,POINT (-87.6240607 41.7153577),ec84877394c3932a,9810,S STATE ST,,,,,,
1,90.42219801880005,POINT (-87.6323716 41.7073385),7ebbc8dc95855280,340,W 103RD ST,,,,,,
1,98.9513174317284,POINT (-87.6339823 41.70397030000001),232d468ce2f3a7eb,10443,S EGGLESTON AVE,,,,,,
1,39.23224156796117,POINT (-87.63347339999999 41.70499669999999),9ccc1c1e0bcdfeae,401,W 104TH ST,,,,,,
1,54.47268360740008,POINT (-87.63360579999998 41.70482849999999),b68cb00be889abc1,10411,S EGGLESTON AVE,,,,,,
1,23.29647409785304,POINT (-87.6333252 41.7048106),6cd0a210772b27ad,10413,S EGGLESTON AVE,,,,,,
1,23.274543031126004,POINT (-87.6333162 41.7044841),0fdfaf251f1a4093,405,W 104TH ST,,,,,,
1,85.6157690237456,POINT (-87.63424299999998 41.7180834),f26e30e29c851d30,9658,S EGGLESTON AVE,,,,,,
1,84.80790274463169,POINT (-87.63400509999998 41.709529100000005),c74e1750a9925567,10138,S EGGLESTON AVE,,,,,,
1,84.80562162903223,POINT (-87.63400329999999 41.7094631),ecf7cccf77b72a84,10142,S EGGLESTON AVE,,,,,,
1,84.80304023154157,POINT (-87.6340015 41.70939719999999),54e5a5d9a90a2161,10142,S EGGLESTON AVE,,,,,,
1,84.81188840310413,POINT (-87.63399979999998 41.709331199999994),7c1a6ba3a23b33a2,10142,S EGGLESTON AVE,,,,,,
1,84.7978768245865,POINT (-87.6339979 41.70926540000001),7bf8e018321799b8,10148,S EGGLESTON AVE,,,,,,
1,84.79944816391307,POINT (-87.63399479999998 41.70914989999999),2bcf56f7c242b710,10152,S EGGLESTON AVE,,,,,,
1,84.80186004706343,POINT (-87.63399259999998 41.7090675),b523d807728a0c21,10154,S EGGLESTON AVE,,,,,,
1,84.78814773721989,POINT (-87.6339907 41.70900159999999),461d8c6e9564e1d0,10158,S EGGLESTON AVE,,,,,,
0,81.62939978016722,POINT (-87.63247519999999 41.7082508),ef2a8692e44a601b,342,W 102ND PL,,,,,,
0,94.36537150993595,POINT (-87.6323608 41.708252),7d402b5424b59f2a,340,W 102ND PL,,,,,,
